1	292
2	625
3	250
4	916
5	1084
6	1125
7	1334
8	1500
9	1458
10	1584
11	1959
12	2083
13	2459
14	2708
15	2833
16	3042
17	3125
18	3208
19	3750
20	3583
21	3583
22	4041
23	4375
24	4250
25	5208
26	4666
27	5167
28	5833
29	5417
30	5542
31	6375
32	6042
33	6250
34	6500
35	7875
36	6917
37	8584
38	8041
39	8041
40	7917
41	8500
42	8458
43	8833
44	8792
45	9250
46	9917
47	10292
48	11750
49	10667
50	10708
51	10708
52	7959
53	8958
54	9333
55	9000
56	9542
57	9375
58	10166
59	10958
60	10375
61	10875
62	10459
63	11375
64	11583
65	11375
66	11125
67	11959
68	11917
69	11209
70	12417
71	12125
72	12417
73	11916
74	12667
75	13292
76	13375
77	13458
78	15000
79	13625
80	14583
81	14625
82	14083
83	15333
84	15709
85	15625
86	16375
87	15709
88	15167
89	15666
90	15250
91	15958
92	16041
93	16416
94	17291
95	17334
96	17042
97	17416
98	16792
99	19417
100	17791
101	18041
102	19833
103	19000
104	19500
105	19667
106	20000
107	18917
108	20042
109	19208
110	21000
111	20292
112	20583
113	20792
114	22125
115	21208
116	23083
117	21416
118	22333
119	21875
120	22334
121	22625
122	23209
123	22834
124	24208
125	23083
126	23333
127	24334
128	25292
129	25000
130	25500
131	26083
132	26166
133	24916
134	26833
135	27250
136	27208
137	24417
138	25416
139	29125
140	29458
141	28333
142	28750
143	27208
144	28625
145	27917
146	30125
147	28500
148	27625
149	29416
150	28791
151	29167
152	29541
153	30250
154	35709
155	36166
156	31209
157	32000
158	30459
159	31542
160	32375
161	30750
162	33459
163	32750
164	34625
165	32500
166	31958
167	32750
168	34000
169	28834
170	11917
171	12458
172	12041
173	12583
174	13209
175	12917
176	13333
177	11750
178	13375
179	13417
180	13333
181	13417
182	13459
183	13416
184	13333
185	13167
186	13375
187	13250
188	13666
189	13834
190	13250
191	13542
192	13958
193	13834
194	13708
195	14583
196	13875
197	14416
198	14208
199	14458
200	13708
